loan_status,previous_loan_defaults_on_file,loan_percent_income,loan_int_rate,person_income,loan_amnt,person_age,person_emp_exp,cb_person_cred_hist_length,credit_score
0,1,0.11,13.61,16211.0,1750.0,25.0,2,3.0,597
1,0,0.48,12.73,51922.0,25000.0,21.0,3,3.0,673
1,0,0.5,11.01,50309.0,25000.0,24.0,3,3.0,625
1,0,0.18,12.87,16378.0,3000.0,25.0,0,4.0,603
1,0,0.22,9.91,16572.0,3650.0,24.0,0,3.0,589
0,1,0.07,11.49,272201.0,20000.0,26.0,5,4.0,670
0,1,0.11,19.91,271324.0,30000.0,25.0,3,2.0,637
1,0,0.14,10.65,256862.0,35000.0,26.0,2,2.0,643
0,1,0.02,11.01,271342.0,6000.0,24.0,0,4.0,508
1,0,0.27,11.83,16470.0,4500.0,24.0,2,4.0,643
1,0,0.14,13.49,16599.0,2400.0,23.0,0,2.0,505
1,0,0.48,14.59,51608.0,25000.0,22.0,0,2.0,593
1,0,0.43,9.64,58516.0,25000.0,26.0,6,4.0,686
1,0,0.22,14.59,16395.0,3600.0,25.0,4,3.0,646
1,0,0.28,11.01,16890.0,4750.0,22.0,0,3.0,645
1,0,0.48,16.35,51747.0,25000.0,25.0,3,3.0,697
1,0,0.42,10.99,59864.0,25000.0,21.0,0,2.0,648
0,1,0.09,18.67,270972.0,25000.0,25.0,1,2.0,640
0,0,0.01,9.32,270870.0,3000.0,26.0,5,4.0,681
0,0,0.03,8.63,270729.0,7500.0,23.0,0,2.0,646
0,1,0.09,10.08,270877.0,25000.0,26.0,4,2.0,615
1,0,0.41,11.83,60501.0,25000.0,22.0,0,3.0,687
1,0,0.41,7.9,60754.0,25000.0,23.0,1,3.0,650
1,0,0.41,5.99,60829.0,25000.0,25.0,0,2.0,588
1,0,0.46,15.33,53825.0,25000.0,24.0,2,2.0,652
1,0,0.41,11.83,60801.0,25000.0,23.0,0,4.0,658
1,0,0.41,10.36,60747.0,25000.0,22.0,0,2.0,634
1,0,0.41,12.23,61029.0,25000.0,22.0,0,3.0,623
1,0,0.4,11.11,63236.0,25000.0,22.0,0,4.0,635
1,0,0.29,7.9,17149.0,4950.0,23.0,0,4.0,531
0,1,0.09,11.58,265066.0,25000.0,24.0,4,2.0,665
0,0,0.08,8.9,260205.0,21000.0,23.0,2,3.0,703
0,1,0.1,16.07,260035.0,25000.0,25.0,5,3.0,585
0,0,0.08,14.22,260444.0,20000.0,26.0,4,2.0,594
0,1,0.14,14.79,258980.0,35000.0,23.0,0,3.0,618
0,1,0.05,7.88,259081.0,12000.0,26.0,2,2.0,626
1,0,0.39,13.22,63497.0,25000.0,23.0,0,2.0,695
1,0,0.44,11.86,56325.0,25000.0,26.0,2,4.0,690
1,0,0.39,13.43,64842.0,25000.0,22.0,0,4.0,574
1,0,0.43,15.28,57856.0,25000.0,26.0,0,2.0,602
1,0,0.44,17.93,57318.0,25000.0,23.0,0,2.0,679
0,0,0.08,9.25,16916.0,1400.0,23.0,2,4.0,615
1,0,0.27,12.98,16664.0,4500.0,21.0,0,4.0,601
0,1,0.06,10.62,252803.0,16000.0,22.0,0,4.0,577
0,1,0.09,11.83,253061.0,22000.0,26.0,3,4.0,588
1,0,0.43,18.43,58602.0,25000.0,26.0,8,2.0,595
1,0,0.37,11.01,67012.0,25000.0,22.0,2,4.0,653
1,0,0.38,11.01,66643.0,25000.0,24.0,3,4.0,663
1,0,0.38,11.36,66599.0,25000.0,23.0,0,3.0,653
1,0,0.37,15.65,67212.0,25000.0,23.0,2,3.0,598
1,0,0.37,13.22,66918.0,25000.0,24.0,1,4.0,630
1,0,0.37,12.87,68066.0,25000.0,26.0,2,2.0,637
0,1,0.08,13.04,245545.0,20000.0,24.0,1,3.0,660
1,0,0.1,17.58,229083.0,22000.0,23.0,0,3.0,639
1,0,0.43,17.04,17859.0,7750.0,23.0,0,4.0,626
1,0,0.34,10.99,72608.0,25000.0,24.0,3,3.0,612
1,0,0.34,11.11,73073.0,25000.0,24.0,1,3.0,628
1,0,0.38,14.83,65880.0,25000.0,26.0,2,2.0,592
1,0,0.23,11.01,17755.0,4000.0,23.0,1,3.0,580
0,0,0.05,12.69,241180.0,12000.0,24.0,3,2.0,634
0,0,0.05,13.49,240894.0,12000.0,24.0,3,2.0,678
0,1,0.07,14.65,240980.0,16000.0,21.0,0,4.0,557
1,0,0.38,16.82,65742.0,25000.0,25.0,3,4.0,672
1,0,0.34,12.73,72713.0,25000.0,23.0,0,3.0,613
1,0,0.34,10.25,72627.0,25000.0,23.0,3,4.0,566
1,0,0.34,10.99,72843.0,25000.0,21.0,0,4.0,718
1,0,0.33,12.73,75504.0,25000.0,25.0,4,2.0,484
1,0,0.36,14.96,68824.0,25000.0,22.0,0,3.0,634
0,1,0.12,11.01,241167.0,28000.0,23.0,2,2.0,653
0,0,0.1,13.99,241060.0,25000.0,21.0,0,2.0,699
0,1,0.1,7.49,240855.0,24000.0,24.0,0,4.0,656
0,1,0.06,14.79,241030.0,15000.0,26.0,3,3.0,626
0,0,0.06,11.99,240895.0,15500.0,25.0,2,2.0,659
0,1,0.04,8.49,240932.0,10000.0,24.0,4,4.0,604
1,0,0.31,9.91,80145.0,25000.0,24.0,1,2.0,636
1,0,0.31,13.06,80303.0,25000.0,22.0,0,3.0,554
0,1,0.04,6.17,241048.0,9000.0,22.0,0,4.0,587
0,1,0.07,16.32,241005.0,18000.0,25.0,4,3.0,708
0,1,0.05,10.38,240768.0,12000.0,25.0,2,2.0,669
0,0,0.1,14.35,241201.0,23050.0,25.0,2,3.0,578
0,0,0.08,11.01,240920.0,20000.0,24.0,5,3.0,615
1,0,0.34,11.01,72919.0,25000.0,24.0,1,2.0,553
1,0,0.17,11.01,18008.0,3000.0,21.0,0,4.0,635
1,0,0.31,15.21,81238.0,25000.0,26.0,3,2.0,531
1,0,0.31,7.9,80868.0,25000.0,23.0,1,4.0,621
1,0,0.31,10.99,81537.0,25000.0,24.0,1,3.0,674
1,0,0.3,14.09,82741.0,25000.0,24.0,0,3.0,688
1,0,0.3,17.49,83901.0,25000.0,25.0,3,2.0,597
0,0,0.05,11.48,240717.0,12000.0,25.0,1,3.0,640
1,0,0.09,17.74,226744.0,20000.0,26.0,0,2.0,621
0,1,0.01,13.92,241114.0,3000.0,26.0,5,3.0,608
1,0,0.29,15.21,85284.0,25000.0,25.0,3,3.0,653
1,0,0.22,10.99,18152.0,4000.0,22.0,0,3.0,585
1,0,0.29,11.86,84871.0,25000.0,24.0,3,4.0,569
1,0,0.33,7.49,18294.0,6000.0,24.0,2,3.0,587
1,0,0.37,16.49,68029.0,25000.0,24.0,1,4.0,631
1,0,0.31,15.33,80001.0,25000.0,25.0,4,2.0,592
1,0,0.31,11.58,79875.0,25000.0,26.0,6,4.0,679
1,0,0.29,5.79,18449.0,5375.0,25.0,1,2.0,645
1,0,0.28,13.11,88153.0,25000.0,25.0,0,2.0,669
1,0,0.28,10.36,90109.0,25000.0,23.0,0,3.0,653
1,0,0.27,10.36,90938.0,25000.0,25.0,1,2.0,577
0,1,0.1,11.01,231335.0,22000.0,24.0,0,2.0,668
0,0,0.09,6.54,231829.0,20000.0,21.0,0,4.0,629
0,0,0.04,12.53,230516.0,10000.0,25.0,4,4.0,643
0,0,0.07,11.01,229626.0,15000.0,26.0,0,3.0,626
0,1,0.04,11.01,228907.0,10000.0,22.0,0,3.0,560
1,0,0.27,10.25,90938.0,25000.0,24.0,0,4.0,648
1,0,0.29,15.95,86284.0,25000.0,22.0,0,4.0,648
0,1,0.09,12.18,228774.0,20000.0,26.0,3,4.0,669
0,1,0.1,11.83,229027.0,24000.0,23.0,2,3.0,536
1,0,0.26,11.01,94789.0,25000.0,23.0,1,2.0,548
1,0,0.26,10.62,94780.0,25000.0,23.0,0,3.0,667
1,0,0.26,10.74,95298.0,25000.0,23.0,0,3.0,676
0,1,0.04,10.25,223944.0,10000.0,25.0,1,4.0,570
0,0,0.16,12.42,222629.0,35000.0,24.0,0,2.0,623
0,1,0.07,15.27,222973.0,15000.0,25.0,2,2.0,652
1,0,0.33,15.33,75240.0,25000.0,24.0,1,2.0,625
1,0,0.26,15.21,96143.0,25000.0,23.0,1,2.0,642
1,0,0.35,14.72,18064.0,6250.0,21.0,0,2.0,580
1,0,0.26,15.7,96627.0,25000.0,24.0,2,2.0,622
1,0,0.26,13.35,96309.0,25000.0,24.0,3,4.0,581
0,0,0.08,11.01,18421.0,1500.0,21.0,1,4.0,623
1,0,0.26,6.62,96836.0,25000.0,24.0,1,2.0,583
1,0,0.26,13.61,96947.0,25000.0,26.0,4,4.0,645
0,1,0.11,11.36,222975.0,25000.0,22.0,2,2.0,593
0,1,0.02,7.68,222985.0,5000.0,26.0,3,2.0,659
0,1,0.1,14.46,223064.0,22000.0,24.0,0,4.0,655
0,1,0.01,11.83,221559.0,2500.0,23.0,2,2.0,583
1,0,0.1,13.47,207712.0,20000.0,24.0,0,4.0,582
0,1,0.09,11.49,220872.0,20000.0,24.0,1,3.0,504
0,1,0.0,11.01,220518.0,1000.0,22.0,0,2.0,551
0,1,0.07,6.03,220510.0,15000.0,25.0,1,3.0,529
1,0,0.28,16.35,89818.0,25000.0,23.0,0,4.0,674
1,0,0.28,11.01,90006.0,25000.0,26.0,4,4.0,595
1,0,0.25,7.29,98704.0,25000.0,25.0,6,3.0,597
1,0,0.25,11.36,98967.0,25000.0,23.0,5,3.0,566
0,0,0.25,10.25,99435.0,25000.0,24.0,3,2.0,666
0,0,0.25,11.12,100658.0,25000.0,24.0,1,3.0,695
0,1,0.25,12.92,100435.0,25000.0,24.0,2,3.0,576
0,1,0.08,18.64,216925.0,18000.0,24.0,5,4.0,651
0,1,0.13,7.51,216891.0,28000.0,23.0,0,3.0,633
1,0,0.22,16.7,18512.0,4000.0,23.0,1,2.0,566
0,0,0.11,11.14,18367.0,2100.0,22.0,0,4.0,583
0,1,0.24,18.3,102317.0,25000.0,22.0,0,4.0,586
0,1,0.24,10.62,103400.0,25000.0,24.0,4,4.0,592
0,1,0.06,11.99,217134.0,14000.0,24.0,2,2.0,598
0,1,0.06,9.63,217024.0,12000.0,26.0,1,4.0,637
1,0,0.06,18.25,172215.0,10000.0,25.0,5,4.0,628
1,0,0.32,11.01,18831.0,6000.0,23.0,0,4.0,667
0,1,0.24,14.84,105349.0,25000.0,24.0,5,3.0,621
1,0,0.27,14.7,91184.0,25000.0,24.0,1,3.0,668
1,0,0.27,16.02,91886.0,25000.0,23.0,1,4.0,544
1,0,0.31,15.37,80452.0,25000.0,23.0,2,2.0,699
0,0,0.23,10.99,108758.0,25000.0,25.0,2,4.0,611
1,0,0.33,7.9,18916.0,6200.0,21.0,0,2.0,615
0,1,0.12,10.99,217234.0,25000.0,26.0,5,4.0,559
0,1,0.1,11.48,217017.0,21000.0,24.0,0,3.0,577
0,1,0.09,14.26,216874.0,20000.0,25.0,1,4.0,657
0,1,0.05,8.0,216833.0,10000.0,26.0,5,4.0,676
0,0,0.05,11.26,216483.0,9950.0,25.0,0,2.0,601
1,0,0.24,11.01,19000.0,4475.0,23.0,2,4.0,647
1,0,0.26,16.32,94363.0,25000.0,23.0,0,3.0,576
1,0,0.31,17.93,80570.0,25000.0,25.0,3,4.0,612
0,0,0.23,11.36,109167.0,25000.0,23.0,0,3.0,678
1,0,0.26,14.96,95753.0,25000.0,24.0,1,4.0,542
0,1,0.23,13.43,110935.0,25000.0,24.0,1,3.0,709
0,1,0.22,12.69,111490.0,25000.0,25.0,2,3.0,622
0,1,0.22,12.73,111729.0,25000.0,24.0,4,4.0,642
0,0,0.22,15.21,113396.0,25000.0,23.0,0,4.0,660
0,1,0.09,12.68,19175.0,1750.0,23.0,1,3.0,587
1,0,0.29,19.04,85787.0,25000.0,23.0,0,4.0,646
1,0,0.24,15.95,102114.0,25000.0,25.0,7,3.0,637
0,0,0.01,8.9,211005.0,2600.0,26.0,5,4.0,718
0,1,0.04,7.9,210903.0,8000.0,25.0,4,2.0,588
0,0,0.09,11.01,210555.0,18000.0,22.0,0,2.0,652
0,1,0.1,11.99,210937.0,21000.0,23.0,0,3.0,620
1,0,0.21,13.98,19062.0,4000.0,23.0,2,4.0,667
1,0,0.24,10.99,18926.0,4600.0,23.0,0,2.0,688
1,0,0.23,15.58,106694.0,25000.0,22.0,0,2.0,667
1,0,0.28,10.99,90718.0,25000.0,25.0,4,2.0,692
1,0,0.23,14.96,106668.0,25000.0,25.0,1,4.0,562
0,1,0.09,15.31,19158.0,1750.0,25.0,4,4.0,625
1,0,0.23,15.65,106419.0,25000.0,26.0,5,3.0,649
0,1,0.21,9.33,120696.0,25000.0,25.0,3,4.0,545
1,0,0.19,13.47,19065.0,3600.0,23.0,3,4.0,540
0,1,0.2,10.36,124083.0,25000.0,24.0,0,3.0,637
1,0,0.22,16.77,111673.0,25000.0,24.0,4,4.0,600
1,0,0.22,14.59,112633.0,25000.0,23.0,1,2.0,633
0,0,0.02,11.91,210938.0,3500.0,22.0,0,2.0,588
0,1,0.03,8.38,210720.0,7200.0,23.0,2,3.0,624
0,1,0.04,10.59,210705.0,9000.0,25.0,7,3.0,525
0,1,0.04,14.27,209997.0,8800.0,25.0,3,3.0,616
0,0,0.06,12.53,209873.0,12000.0,26.0,3,4.0,675
1,0,0.13,16.0,195268.0,25000.0,25.0,1,3.0,662
0,1,0.05,11.71,209393.0,10000.0,26.0,2,4.0,585
1,0,0.17,11.54,18773.0,3175.0,21.0,0,3.0,686
1,0,0.21,15.68,116439.0,25000.0,25.0,2,4.0,595
0,1,0.08,10.59,19169.0,1500.0,21.0,2,2.0,537
1,0,0.21,12.61,118417.0,25000.0,24.0,0,2.0,625
0,1,0.19,11.01,133476.0,25000.0,26.0,0,2.0,641
1,0,0.14,8.49,19312.0,2800.0,23.0,4,3.0,661
1,0,0.16,17.27,192351.0,30000.0,25.0,1,4.0,577
0,1,0.09,8.9,206648.0,18000.0,24.0,4,4.0,537
0,1,0.05,11.11,205046.0,10000.0,25.0,6,4.0,646
1,0,0.13,14.59,190735.0,25000.0,24.0,1,2.0,653
0,0,0.06,12.42,204872.0,13000.0,26.0,3,3.0,654
1,0,0.25,11.01,100758.0,25000.0,24.0,0,2.0,635
0,1,0.19,15.7,133231.0,25000.0,24.0,3,2.0,675
1,0,0.13,12.53,18923.0,2500.0,22.0,0,3.0,618
1,0,0.03,16.49,161894.0,5000.0,25.0,0,2.0,609
0,1,0.1,7.49,205144.0,20000.0,25.0,0,2.0,545
1,0,0.21,14.96,121617.0,25000.0,22.0,2,2.0,629
0,0,0.18,12.73,136206.0,25000.0,25.0,6,4.0,539
0,1,0.17,10.65,144915.0,25000.0,24.0,4,4.0,593
0,0,0.17,10.74,145233.0,25000.0,25.0,3,2.0,683
0,1,0.17,9.99,145002.0,25000.0,23.0,1,2.0,670
1,0,0.23,15.33,110953.0,25000.0,24.0,0,2.0,662
0,1,0.05,7.29,19414.0,1000.0,21.0,2,4.0,681
1,0,0.19,15.05,130096.0,25000.0,26.0,1,3.0,636
0,1,0.16,10.75,157292.0,25000.0,26.0,0,3.0,677
0,1,0.16,16.02,156995.0,25000.0,23.0,3,2.0,656
0,1,0.16,11.49,156952.0,25000.0,23.0,0,4.0,674
0,0,0.1,12.53,205005.0,20000.0,25.0,6,4.0,587
0,0,0.06,13.57,205060.0,12000.0,26.0,2,2.0,658
0,1,0.07,11.14,203782.0,14000.0,22.0,4,3.0,581
0,1,0.12,12.87,203368.0,24250.0,26.0,3,3.0,606
0,0,0.1,11.58,203403.0,20000.0,23.0,0,3.0,648
0,1,0.01,11.12,202715.0,1800.0,24.0,3,3.0,563
0,1,0.17,10.65,202525.0,35000.0,25.0,1,2.0,589
0,0,0.15,10.37,161487.0,25000.0,24.0,1,2.0,641
1,0,0.17,6.39,19677.0,3300.0,24.0,3,4.0,637
0,1,0.15,16.07,161952.0,25000.0,24.0,2,3.0,578
0,1,0.15,10.62,161560.0,25000.0,25.0,0,2.0,660
1,0,0.16,18.09,19423.0,3200.0,25.0,3,2.0,586
0,1,0.15,11.36,163134.0,25000.0,25.0,5,4.0,567
0,1,0.15,12.53,163683.0,25000.0,26.0,5,4.0,582
0,1,0.14,9.99,174972.0,25000.0,25.0,3,4.0,712
0,0,0.14,10.36,181016.0,25000.0,23.0,4,3.0,674
0,1,0.05,5.99,198920.0,9600.0,23.0,0,3.0,532
1,0,0.13,15.62,184800.0,24000.0,22.0,1,2.0,670
0,0,0.1,10.37,198862.0,20000.0,24.0,6,4.0,658
0,0,0.13,19.74,199407.0,25000.0,25.0,0,4.0,669
0,1,0.1,6.91,198803.0,20000.0,21.0,0,4.0,681
1,0,0.3,7.9,20044.0,6000.0,23.0,3,2.0,618
0,1,0.11,13.06,20401.0,2275.0,23.0,4,4.0,573
0,1,0.1,6.39,19859.0,2000.0,23.0,0,3.0,491
1,0,0.14,14.93,178660.0,25000.0,23.0,2,3.0,590
1,0,0.27,12.84,20421.0,5600.0,23.0,0,4.0,587
1,0,0.18,17.14,20353.0,3625.0,24.0,2,2.0,648
1,0,0.27,7.14,20297.0,5500.0,22.0,0,3.0,687
0,0,0.12,8.9,210932.0,25000.0,25.0,0,2.0,621
0,1,0.1,12.42,20405.0,2000.0,22.0,0,3.0,590
0,1,0.11,12.68,223194.0,25000.0,24.0,0,2.0,676
0,1,0.13,11.03,195560.0,25000.0,25.0,0,2.0,677
0,1,0.15,7.9,194140.0,30000.0,26.0,6,4.0,651
0,1,0.18,10.65,193337.0,35000.0,22.0,0,4.0,602
0,0,0.09,11.86,270992.0,25000.0,25.0,2,4.0,652
1,0,0.25,8.94,20221.0,5000.0,25.0,5,4.0,572
1,0,0.21,9.63,20678.0,4375.0,23.0,0,4.0,528
1,0,0.41,14.22,60742.0,24750.0,25.0,3,3.0,638
1,0,0.34,9.33,72805.0,24750.0,23.0,2,3.0,655
0,1,0.24,13.85,102011.0,24500.0,24.0,3,4.0,627
0,0,0.1,10.65,20896.0,2000.0,22.0,0,2.0,596
0,0,0.22,11.46,111283.0,24500.0,24.0,0,4.0,694
0,1,0.18,7.66,192873.0,35000.0,23.0,0,2.0,684
0,0,0.06,16.77,193174.0,12000.0,24.0,0,4.0,547
0,1,0.06,9.63,193249.0,12000.0,25.0,0,4.0,586
0,0,0.13,12.23,192954.0,25000.0,26.0,5,4.0,694
1,0,0.07,14.09,152227.0,10000.0,25.0,2,4.0,639
1,0,0.37,13.98,65399.0,24250.0,25.0,0,4.0,663
1,0,0.32,10.62,75928.0,24250.0,23.0,4,4.0,528
1,0,0.18,11.01,21627.0,3900.0,24.0,0,3.0,636
1,0,0.29,17.56,83235.0,24250.0,25.0,3,4.0,603
1,0,0.36,14.96,68297.0,24250.0,26.0,3,2.0,507
1,0,0.27,15.65,89977.0,24250.0,22.0,3,2.0,692
1,0,0.3,15.7,79510.0,24250.0,24.0,2,2.0,604
0,0,0.22,12.53,109050.0,24250.0,24.0,5,3.0,622
1,0,0.26,17.56,94635.0,24250.0,26.0,2,3.0,643
0,0,0.2,12.87,120966.0,24250.0,23.0,0,2.0,565
0,1,0.19,15.7,124437.0,24250.0,23.0,0,2.0,718
0,1,0.05,11.01,193147.0,9000.0,25.0,3,3.0,625
0,1,0.08,11.14,192914.0,15000.0,25.0,0,4.0,614
0,1,0.1,16.0,192806.0,20000.0,24.0,2,3.0,690
0,1,0.13,15.65,193097.0,25000.0,23.0,0,2.0,564
0,1,0.07,11.01,193082.0,13750.0,26.0,5,4.0,579
0,0,0.08,15.31,192841.0,15250.0,21.0,1,4.0,648
0,1,0.1,13.47,193300.0,20000.0,25.0,3,2.0,531
1,0,0.22,13.85,21205.0,4750.0,22.0,0,2.0,658
0,0,0.18,11.01,135292.0,24250.0,25.0,3,3.0,574
1,0,0.28,10.39,21363.0,6000.0,21.0,2,4.0,671
0,0,0.17,11.36,139035.0,24250.0,25.0,7,2.0,633
0,1,0.14,11.83,173511.0,24250.0,23.0,0,3.0,631
0,1,0.07,12.53,345520.0,24250.0,23.0,0,3.0,652
1,0,0.18,14.96,130762.0,24150.0,22.0,3,3.0,683
1,0,0.46,13.85,52596.0,24000.0,22.0,0,3.0,693
1,0,0.42,11.58,57326.0,24000.0,23.0,2,4.0,603
1,0,0.41,16.29,58262.0,24000.0,24.0,1,2.0,522
1,0,0.41,11.01,58620.0,24000.0,26.0,4,3.0,664
1,0,0.44,16.29,55113.0,24000.0,21.0,0,2.0,645
1,0,0.38,10.74,63361.0,24000.0,25.0,2,2.0,592
0,1,0.1,15.27,22107.0,2250.0,22.0,4,3.0,636
